Country_code,Country,Region,Region_Code,New_LA_code,Old_LA_code,LA_name,School_Phase,NC_Year_Admission,Admission_Numbers,Applications_received,Online_Applications,Online_Apps_Percent,No_of_preferences,First_preference_offers,Second_preference_offers,Third_preference_offers,One_of_the_three_preference_offers,Preferred_school_offer,Non_Preferred_Offer,No_Offer,Schools_in_LA_offer,Schools_in_another_LA_offer,Offers_To_NonApplicants,
E92000001,England,,,,1,,Secondary,,607928,533314,459937,86.2,,449308,42920,14362,506590,514215,16968,2131,488456,45221,2494,
E92000001,England,NORTH EAST,E12000001,,2,,Secondary,,28286,22864,18611,81.4,,21174,1035,152,22361,22364,404,96,22206,806,244,
E92000001,England,NORTH WEST,E12000002,,3,,Secondary,,86974,74127,64900,87.6,,64148,5506,1529,71183,71406,2633,88,69572,4920,453,
E92000001,England,YORKSHIRE AND THE HUMBER,E12000003,,4,,Secondary,,63652,55716,37159,66.7,,48767,3649,1029,53445,53804,1875,37,53046,3170,537,
E92000001,England,EAST MIDLANDS,E12000004,,5,,Secondary,,53145,45114,42469,94.1,,41035,2566,551,44152,44195,782,137,42266,2967,256,
E92000001,England,WEST MIDLANDS,E12000005,,6,,Secondary,,65220,57511,48032,83.5,,46886,5097,1881,53864,55202,2188,121,52023,5551,184,
E92000001,England,EAST OF ENGLAND,E12000006,,7,,Secondary,,68299,59525,52598,88.4,,51664,4041,1274,56979,57668,1396,461,56462,2860,258,
E92000001,England,INNER LONDON,E12000007,,11,,Secondary,,29721,27940,22229,79.6,,18398,4254,2043,24695,26181,1246,513,22064,5363,0,
E92000001,England,OUTER LONDON,E12000007,,12,,Secondary,,58123,55440,50743,91.5,,39092,7597,3158,49847,52557,2739,144,44591,10822,117,
E92000001,England,SOUTH EAST,E12000008,,9,,Secondary,,97099,87076,80628,92.6,,74135,6795,2195,83125,83863,2874,339,81629,5222,114,
E92000001,England,SOUTH WEST,E12000009,,10,,Secondary,,57409,48001,42568,88.7,,44009,2380,550,46939,46975,831,195,44597,3540,331,
E92000001,England,INNER LONDON,E12000007,E09000001,201,City of London,Secondary,7,0,21,20,95.2,6,13,3,2,18,19,2,0,0,21,0,
E92000001,England,INNER LONDON,E12000007,E09000007,202,Camden,Secondary,7,1709,1509,1457,96.6,6,1077,206,96,1379,1420,89,0,1092,417,0,
E92000001,England,OUTER LONDON,E12000007,E09000011,203,Greenwich,Secondary,7,2383,2793,2510,89.9,6,1870,389,160,2419,2576,217,0,1910,883,0,
E92000001,England,INNER LONDON,E12000007,E09000012,204,Hackney,Secondary,7,2331,2409,2107,87.5,6,1567,357,183,2107,2240,0,169,1943,297,0,
E92000001,England,INNER LONDON,E12000007,E09000013,205,Hammersmith and Fulham,Secondary,7,1536,1247,1159,92.9,6,690,181,115,986,1097,150,0,919,328,0,
E92000001,England,INNER LONDON,E12000007,E09000019,206,Islington,Secondary,7,1635,1282,1282,100.0,6,904,208,82,1194,1245,37,0,963,319,0,
E92000001,England,INNER LONDON,E12000007,E09000020,207,Kensington and Chelsea,Secondary,7,934,724,673,93.0,6,473,101,48,622,652,70,2,508,214,0,
E92000001,England,INNER LONDON,E12000007,E09000022,208,Lambeth,Secondary,7,2523,2523,2375,94.1,6,1559,386,236,2181,2354,169,0,1771,752,0,
