"Figure 4: Average house price, by English region, January 2004 to January 2017",""
"",""
"",""
"Notes","1. Not seasonally adjusted.
2.	The [full HPI](https://www.gov.uk/government/collections/uk-house-price-index-reports) release is available to download from HM Land Registry at GOV.UK.
"
"Unit","£"
"",""
"","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West"
"2004 Jan","91000 ","96000 ","97000 ","119000 ","123000 ","160000 ","219000 ","182000 ","158000 "
"2004 Feb","89000 ","97000 ","97000 ","120000 ","124000 ","160000 ","220000 ","183000 ","158000 "
"2004 Mar","93000 ","99000 ","101000 ","121000 ","126000 ","162000 ","221000 ","185000 ","162000 "
"2004 Apr","100000 ","104000 ","107000 ","126000 ","129000 ","165000 ","226000 ","187000 ","165000 "
"2004 May","102000 ","108000 ","109000 ","129000 ","132000 ","167000 ","227000 ","190000 ","168000 "
"2004 Jun","106000 ","111000 ","113000 ","131000 ","136000 ","170000 ","230000 ","192000 ","172000 "
"2004 Jul","110000 ","116000 ","115000 ","134000 ","139000 ","172000 ","234000 ","195000 ","175000 "
"2004 Aug","112000 ","117000 ","117000 ","136000 ","141000 ","175000 ","235000 ","198000 ","176000 "
"2004 Sep","110000 ","118000 ","119000 ","137000 ","141000 ","175000 ","234000 ","198000 ","179000 "
"2004 Oct","112000 ","118000 ","118000 ","137000 ","142000 ","176000 ","232000 ","198000 ","178000 "
"2004 Nov","110000 ","120000 ","119000 ","139000 ","142000 ","176000 ","235000 ","199000 ","179000 "
"2004 Dec","114000 ","120000 ","120000 ","138000 ","143000 ","175000 ","230000 ","198000 ","178000 "
"2005 Jan","111000 ","119000 ","119000 ","135000 ","140000 ","175000 ","232000 ","196000 ","176000 "
"2005 Feb","110000 ","118000 ","120000 ","137000 ","142000 ","174000 ","231000 ","196000 ","176000 "
"2005 Mar","113000 ","121000 ","122000 ","137000 ","142000 ","174000 ","231000 ","196000 ","176000 "
"2005 Apr","116000 ","123000 ","122000 ","139000 ","143000 ","174000 ","235000 ","198000 ","177000 "
"2005 May","117000 ","126000 ","125000 ","140000 ","144000 ","177000 ","236000 ","199000 ","178000 "
"2005 Jun","119000 ","128000 ","126000 ","140000 ","146000 ","178000 ","236000 ","199000 ","179000 "
"2005 Jul","121000 ","129000 ","128000 ","141000 ","148000 ","179000 ","238000 ","200000 ","181000 "
"2005 Aug","123000 ","130000 ","129000 ","143000 ","149000 ","179000 ","238000 ","201000 ","180000 "
"2005 Sep","121000 ","130000 ","129000 ","141000 ","148000 ","179000 ","237000 ","201000 ","181000 "
"2005 Oct","122000 ","130000 ","129000 ","143000 ","148000 ","178000 ","234000 ","199000 ","181000 "
"2005 Nov","123000 ","130000 ","130000 ","143000 ","149000 ","178000 ","237000 ","201000 ","181000 "
"2005 Dec","123000 ","133000 ","130000 ","142000 ","149000 ","180000 ","238000 ","201000 ","182000 "
