"Figure 5: All dwellings annual house price rates of change, year to January 2017: by English region",""
"",""
"",""
"Notes","1.	Not seasonally adjusted.
2.	The [full HPI release](https://www.gov.uk/government/collections/uk-house-price-index-reports) is available to download from HM Land Registry at GOV.UK."
"Unit","Change (%)"
"",""
"","12 month percentage change "
"North East","2.2"
"North West","4.6"
"Yorkshire and The Humber","2.7"
"East Midlands","5.6"
"West Midlands","5.8"
"East","9.4"
"London","7.3"
"South East","8.7"
"South West","7.4"
