"Figure 3: Average house price, by UK country, January 2005 to January 2017",""
"",""
"",""
"Notes",""
"Unit","£"
"",""
"Month","England","Wales ","Scotland ","Northern Ireland"
"2005 Jan","159000 ","124000 ","94000 ","112000 "
"2005 Feb","159000 ","121000 ","94000 ","112000 "
"2005 Mar","160000 ","123000 ","97000 ","112000 "
"2005 Apr","161000 ","124000 ","103000 ","116000 "
"2005 May","163000 ","127000 ","104000 ","116000 "
"2005 Jun","164000 ","127000 ","108000 ","116000 "
"2005 Jul","166000 ","131000 ","110000 ","123000 "
"2005 Aug","166000 ","132000 ","110000 ","123000 "
"2005 Sep","166000 ","131000 ","110000 ","123000 "
"2005 Oct","166000 ","132000 ","110000 ","128000 "
"2005 Nov","166000 ","131000 ","109000 ","128000 "
"2005 Dec","167000 ","130000 ","111000 ","128000 "
"2006 Jan","167000 ","130000 ","109000 ","131000 "
"2006 Feb","167000 ","132000 ","107000 ","131000 "
"2006 Mar","168000 ","134000 ","111000 ","131000 "
"2006 Apr","171000 ","134000 ","116000 ","144000 "
"2006 May","173000 ","135000 ","119000 ","144000 "
"2006 Jun","174000 ","139000 ","120000 ","144000 "
"2006 Jul","176000 ","138000 ","123000 ","161000 "
"2006 Aug","178000 ","140000 ","124000 ","161000 "
"2006 Sep","178000 ","140000 ","126000 ","161000 "
"2006 Oct","179000 ","140000 ","123000 ","180000 "
"2006 Nov","180000 ","142000 ","125000 ","180000 "
"2006 Dec","182000 ","143000 ","128000 ","180000 "
"2007 Jan","182000 ","140000 ","127000 ","199000 "
"2007 Feb","182000 ","143000 ","124000 ","199000 "
"2007 Mar","184000 ","141000 ","129000 ","199000 "
"2007 Apr","187000 ","145000 ","136000 ","217000 "
"2007 May","189000 ","146000 ","139000 ","217000 "
"2007 Jun","191000 ","147000 ","142000 ","217000 "
"2007 Jul","193000 ","147000 ","142000 ","225000 "
"2007 Aug","194000 ","150000 ","143000 ","225000 "
"2007 Sep","195000 ","149000 ","142000 ","225000 "
"2007 Oct","195000 ","150000 ","140000 ","214000 "
"2007 Nov","195000 ","149000 ","142000 ","214000 "
"2007 Dec","194000 ","147000 ","140000 ","214000 "
