Year,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales ,Scotland ,Northern Ireland
Jan-05,111000,119000,119000,135000,140000,175000,232000,196000,176000,124000,94000,112000
Feb-05,110000,118000,120000,137000,142000,174000,231000,196000,176000,121000,94000,112000
Mar-05,113000,121000,122000,137000,142000,174000,231000,196000,176000,123000,97000,112000
Apr-05,116000,123000,122000,139000,143000,174000,235000,198000,177000,124000,103000,116000
May-05,117000,126000,125000,140000,144000,177000,236000,199000,178000,127000,104000,116000
Jun-05,119000,128000,126000,140000,146000,178000,236000,199000,179000,127000,108000,116000
Jul-05,121000,129000,128000,141000,148000,179000,238000,200000,181000,131000,110000,123000
Aug-05,123000,130000,129000,143000,149000,179000,238000,201000,180000,132000,110000,123000
Sep-05,121000,130000,129000,141000,148000,179000,237000,201000,181000,131000,110000,123000
Oct-05,122000,130000,129000,143000,148000,178000,234000,199000,181000,132000,110000,128000
Nov-05,123000,130000,130000,143000,149000,178000,237000,201000,181000,131000,109000,128000
Dec-05,123000,133000,130000,142000,149000,180000,238000,201000,182000,130000,111000,128000
Jan-06,123000,130000,130000,140000,148000,179000,240000,201000,181000,130000,109000,131000
Feb-06,121000,132000,131000,141000,149000,179000,239000,202000,180000,132000,107000,131000
Mar-06,124000,131000,132000,141000,149000,181000,241000,203000,184000,134000,111000,131000
Apr-06,126000,136000,135000,145000,150000,183000,245000,205000,185000,134000,116000,144000
May-06,127000,136000,135000,145000,154000,185000,248000,208000,187000,135000,119000,144000
Jun-06,129000,138000,137000,146000,153000,185000,251000,210000,189000,139000,120000,144000
Jul-06,130000,140000,138000,149000,154000,189000,254000,212000,191000,138000,123000,161000
Aug-06,130000,140000,140000,150000,156000,191000,257000,213000,194000,140000,124000,161000
Sep-06,132000,141000,140000,148000,157000,191000,258000,215000,194000,140000,126000,161000
Oct-06,132000,141000,141000,150000,156000,192000,259000,215000,196000,140000,123000,180000
Nov-06,131000,142000,141000,150000,157000,193000,259000,217000,197000,142000,125000,180000
Dec-06,134000,144000,143000,152000,158000,195000,264000,219000,199000,143000,128000,180000
Jan-07,133000,143000,142000,151000,157000,195000,268000,221000,198000,140000,127000,199000
Feb-07,131000,144000,142000,152000,158000,195000,271000,220000,199000,143000,124000,199000
Mar-07,132000,144000,143000,153000,159000,197000,273000,222000,202000,141000,129000,199000
Apr-07,135000,147000,146000,154000,162000,199000,279000,226000,203000,145000,136000,217000
May-07,136000,148000,148000,154000,162000,201000,283000,230000,206000,146000,139000,217000
Jun-07,138000,150000,149000,156000,163000,205000,286000,232000,207000,147000,142000,217000
Jul-07,139000,150000,150000,158000,164000,207000,296000,236000,210000,147000,142000,225000
Aug-07,139000,152000,150000,159000,166000,208000,298000,236000,211000,150000,143000,225000
Sep-07,138000,151000,149000,160000,165000,209000,298000,238000,213000,149000,142000,225000
Oct-07,138000,151000,150000,158000,165000,209000,299000,239000,212000,150000,140000,214000
Nov-07,139000,151000,150000,158000,164000,210000,298000,239000,212000,149000,142000,214000
Dec-07,139000,152000,150000,157000,165000,209000,298000,237000,209000,147000,140000,214000
Jan-08,135000,148000,147000,153000,162000,208000,299000,235000,208000,146000,138000,198000
Feb-08,135000,147000,147000,153000,162000,206000,296000,232000,204000,145000,138000,198000
Mar-08,134000,145000,145000,152000,160000,203000,294000,232000,202000,142000,138000,198000
Apr-08,136000,147000,146000,152000,160000,202000,294000,231000,203000,142000,139000,186000
May-08,137000,147000,147000,152000,161000,204000,295000,232000,203000,143000,146000,186000
Jun-08,135000,146000,144000,152000,160000,201000,290000,229000,200000,142000,142000,186000
Jul-08,132000,144000,144000,151000,156000,200000,290000,228000,198000,138000,140000,168000
Aug-08,132000,142000,141000,146000,154000,193000,282000,221000,194000,140000,138000,168000
Sep-08,127000,138000,138000,143000,152000,188000,276000,215000,191000,133000,132000,168000
Oct-08,124000,136000,135000,140000,149000,184000,267000,209000,186000,134000,134000,154000
Nov-08,124000,133000,131000,135000,145000,178000,259000,203000,180000,131000,130000,154000
Dec-08,120000,132000,130000,135000,142000,177000,254000,200000,175000,129000,126000,154000
Jan-09,119000,127000,126000,132000,140000,176000,253000,195000,173000,125000,124000,140000
Feb-09,117000,127000,126000,130000,139000,172000,250000,192000,173000,124000,121000,140000
Mar-09,117000,125000,124000,130000,137000,168000,247000,191000,172000,123000,126000,140000
Apr-09,118000,128000,127000,130000,137000,171000,245000,193000,171000,125000,127000,141000
May-09,120000,128000,127000,130000,139000,174000,250000,197000,174000,127000,131000,141000
Jun-09,121000,129000,128000,133000,139000,174000,254000,199000,178000,126000,132000,141000
Jul-09,121000,131000,132000,134000,144000,178000,260000,203000,180000,128000,133000,142000
Aug-09,123000,132000,132000,136000,145000,181000,262000,207000,182000,129000,133000,142000
Sep-09,124000,132000,132000,136000,145000,183000,268000,209000,184000,129000,132000,142000
Oct-09,123000,133000,134000,138000,147000,183000,269000,211000,185000,131000,133000,142000
Nov-09,124000,134000,134000,139000,146000,185000,267000,212000,186000,131000,134000,142000
Dec-09,125000,136000,135000,141000,148000,185000,270000,212000,187000,133000,133000,142000
Jan-10,120000,131000,133000,136000,146000,188000,280000,218000,188000,128000,129000,136000
Feb-10,122000,133000,133000,140000,147000,188000,279000,217000,189000,128000,127000,136000
Mar-10,123000,131000,133000,138000,147000,188000,280000,217000,188000,131000,129000,136000
Apr-10,123000,134000,134000,139000,149000,191000,282000,218000,191000,132000,133000,135000
May-10,123000,134000,135000,142000,149000,192000,282000,220000,193000,132000,133000,135000
Jun-10,124000,135000,135000,142000,151000,192000,285000,222000,193000,132000,134000,135000
Jul-10,123000,134000,137000,143000,151000,195000,293000,225000,195000,134000,135000,132000
Aug-10,126000,136000,137000,144000,151000,194000,291000,224000,196000,132000,134000,132000
Sep-10,122000,134000,135000,142000,152000,195000,290000,225000,196000,133000,134000,132000
Oct-10,125000,133000,133000,141000,149000,192000,286000,221000,194000,133000,134000,125000
Nov-10,120000,131000,132000,140000,149000,191000,282000,220000,192000,127000,132000,125000
Dec-10,120000,131000,133000,139000,149000,190000,285000,219000,190000,129000,130000,125000
Jan-11,117000,130000,129000,136000,146000,189000,288000,217000,189000,128000,130000,119000
Feb-11,117000,129000,131000,137000,144000,187000,285000,217000,188000,128000,126000,119000
Mar-11,116000,128000,128000,136000,143000,189000,287000,216000,188000,125000,126000,119000
Apr-11,119000,129000,132000,137000,146000,189000,294000,218000,188000,129000,130000,117000
May-11,120000,129000,132000,137000,146000,190000,285000,219000,187000,128000,130000,117000
Jun-11,120000,128000,130000,138000,146000,189000,286000,219000,189000,128000,131000,117000
Jul-11,118000,130000,131000,140000,146000,192000,296000,222000,191000,129000,133000,115000
Aug-11,117000,131000,132000,141000,146000,193000,295000,220000,192000,129000,133000,115000
Sep-11,117000,130000,132000,139000,148000,191000,295000,221000,189000,131000,132000,115000
Oct-11,116000,130000,129000,137000,145000,191000,292000,218000,190000,128000,129000,112000
Nov-11,117000,127000,130000,138000,146000,192000,291000,220000,189000,130000,128000,112000
Dec-11,115000,128000,130000,139000,144000,191000,292000,219000,187000,127000,126000,112000
Jan-12,113000,126000,127000,136000,145000,192000,294000,218000,190000,127000,126000,105000
Feb-12,114000,127000,128000,136000,144000,190000,292000,218000,190000,126000,122000,105000
Mar-12,117000,128000,129000,137000,145000,189000,290000,219000,188000,126000,125000,105000
Apr-12,116000,128000,128000,138000,144000,193000,299000,223000,191000,128000,125000,105000
May-12,116000,127000,130000,138000,144000,194000,304000,224000,190000,128000,126000,105000
Jun-12,117000,130000,131000,139000,148000,194000,307000,224000,192000,130000,128000,105000
Jul-12,117000,129000,131000,141000,147000,196000,309000,227000,194000,129000,127000,102000
Aug-12,120000,130000,132000,140000,147000,196000,310000,228000,192000,129000,127000,102000
Sep-12,118000,130000,131000,139000,147000,195000,308000,228000,192000,128000,126000,102000
Oct-12,117000,127000,129000,139000,146000,196000,310000,225000,192000,127000,125000,100000
Nov-12,117000,129000,130000,140000,147000,195000,309000,225000,191000,128000,123000,100000
Dec-12,115000,128000,130000,139000,147000,194000,314000,226000,188000,127000,122000,100000
Jan-13,114000,125000,126000,138000,145000,194000,311000,225000,190000,128000,123000,97000
Feb-13,112000,127000,128000,138000,145000,192000,314000,224000,189000,126000,120000,97000
Mar-13,115000,127000,128000,139000,146000,196000,312000,225000,190000,127000,121000,97000
Apr-13,115000,128000,128000,139000,146000,197000,321000,228000,193000,127000,123000,99000
May-13,116000,128000,130000,141000,147000,196000,322000,228000,193000,129000,125000,99000
Jun-13,116000,130000,131000,141000,149000,198000,325000,231000,193000,129000,127000,99000
Jul-13,119000,130000,131000,143000,150000,201000,333000,234000,195000,129000,128000,101000
Aug-13,120000,132000,132000,144000,152000,202000,336000,235000,197000,131000,130000,101000
Sep-13,119000,131000,133000,144000,150000,202000,340000,235000,198000,130000,128000,101000
Oct-13,113000,129000,131000,144000,151000,204000,340000,235000,197000,128000,127000,102000
Nov-13,116000,130000,132000,144000,151000,203000,344000,237000,197000,130000,129000,102000
Dec-13,116000,131000,133000,146000,152000,207000,352000,239000,199000,129000,127000,102000
Jan-14,115000,130000,132000,145000,152000,206000,356000,241000,198000,132000,127000,104000
Feb-14,115000,131000,134000,147000,151000,207000,358000,241000,199000,132000,125000,104000
Mar-14,116000,130000,132000,146000,153000,208000,361000,243000,201000,130000,127000,104000
Apr-14,118000,134000,136000,149000,155000,213000,375000,247000,204000,133000,130000,107000
May-14,119000,134000,136000,150000,156000,216000,383000,251000,204000,136000,132000,107000
