Regions,Sub_Region,Girls 5+ A*-C grades including maths and english,Boys 5+ A*-C grades  including maths and english,Percentage of schools below the floor standard
North East,County Durham,68.6,57.7,6.1
North East,Darlington,70.1,59.8,0
North East,Gateshead,66.7,56.9,11.1
North East,Hartlepool,64.4,53.4,0
North East,Middlesbrough,52.7,47.9,16.7
North East,Newcastle upon Tyne,62.1,52.8,9.1
North East,North Tyneside,68.5,61.4,0
North East,Northumberland,60.7,49.8,26.7
North East,Redcar and Cleveland,59,51.3,9.1
North East,South Tyneside,64.7,54,11.1
North East,Stockton-on-Tees,61,54.1,10
North East,Sunderland,65,55.2,11.1
North West,Blackburn with Darwen,66.7,52.5,0
North West,Blackpool,50.8,41.3,16.7
North West,Bolton,67.9,53.9,5.9
North West,Bury,67.2,57.5,0
North West,Cheshire East,69,56.1,0
North West,Cheshire West and Chester,67.9,58.5,5.3
North West,Cumbria,63.7,49.6,8.1
North West,Halton,69.6,55.4,0
North West,Knowsley,47.8,39.6,20
North West,Lancashire,67.2,55.6,7.3
North West,Liverpool,59.7,52.2,13.8
North West,Manchester,57.7,48.7,12.5
North West,Oldham,64.5,50.2,0
North West,Rochdale,59.6,52.7,0
North West,Salford,59.3,50.5,13.3
North West,Sefton,64.7,57.3,10.5
North West,St. Helens,62.1,49.1,0
North West,Stockport,71.6,60.3,0
North West,Tameside,64.1,54.6,6.7
North West,Trafford,77.5,64.3,11.1
North West,Warrington,71.5,60.2,0
North West,Wigan,69.5,58,0
North West,Wirral,72.1,60.5,4.5
Yorkshire and the Humber,Barnsley,55.6,45.1,33.3
Yorkshire and the Humber,Bradford,56.6,49.4,3.7
Yorkshire and the Humber,Calderdale,70.8,60.9,0
Yorkshire and the Humber,Doncaster,61.7,51.5,0
Yorkshire and the Humber,East Riding of Yorkshire,67.2,55,0
Yorkshire and the Humber,"Kingston upon Hull, City of",52.6,47.6,25
Yorkshire and the Humber,Kirklees,67,58.6,0
Yorkshire and the Humber,Leeds,62.5,52.4,11.1
Yorkshire and the Humber,North East Lincolnshire,62.8,53.9,11.1
Yorkshire and the Humber,North Lincolnshire,64.7,49,9.1
Yorkshire and the Humber,North Yorkshire,71.7,59.3,4.9
Yorkshire and the Humber,Rotherham,68.9,58.8,6.3
Yorkshire and the Humber,Sheffield,62.9,51.8,8.3
Yorkshire and the Humber,Wakefield,70.4,62.4,0
Yorkshire and the Humber,York,71.7,63.4,10
East Midlands,Derby,62,49.2,8.3
East Midlands,Derbyshire,65.7,52.7,4.4
East Midlands,Leicester,59.6,50.4,16.7
East Midlands,Leicestershire,63.9,55.3,0
East Midlands,Lincolnshire,68.1,55.7,13.2
East Midlands,Northamptonshire,63,53.3,0
East Midlands,Nottingham,55.9,45.1,28.6
East Midlands,Nottinghamshire,69.4,57.4,4.9
East Midlands,Rutland,77.1,58.4,0
West Midlands,Birmingham,64.8,55,5.6
West Midlands,Coventry,60.9,51.8,10.5
West Midlands,Dudley,64.3,55.6,0
West Midlands,"Herefordshire, County of",62.5,50.1,6.7
West Midlands,Sandwell,60.3,48.9,0
West Midlands,Shropshire,66.2,54.7,5
West Midlands,Solihull,71.2,63.3,0
West Midlands,Staffordshire,65.9,54,3.6
West Midlands,Stoke-on-Trent,55.5,44.8,15.4
West Midlands,Telford and Wrekin,62.3,55,14.3
West Midlands,Walsall,64.5,53.2,15.8
West Midlands,Warwickshire,69.2,61.4,0
West Midlands,Wolverhampton,66.4,55.3,5.9
West Midlands,Worcestershire,68.5,57.8,0
East of England,Bedford,65.7,54.2,14.3
East of England,Cambridgeshire,66.4,55.8,7.4
East of England,Central Bedfordshire,64,52.1,0
Eastern,Essex,65.8,55.4,5.7
Eastern,Hertfordshire,71.7,61.1,1.4
Eastern,Luton,64.4,53.2,7.7
Eastern,Norfolk,59.4,49.5,10.9
Eastern,Peterborough,61.8,50.5,0
Eastern,Southend-on-Sea,66.1,58.1,25
Eastern,Suffolk,59.7,49.7,8.8
Eastern,Thurrock,62.6,56,0
