Regions,Sub_Region,Employment Rate,Unemployment rate,Median Gross Weekly Earnings (GBP)
North East,North East,66.5,10.3,455.3
North West,North West,69.1,8.2,472.5
Yorkshire and The Humber,Yorkshire and The Humber,70.2,8.9,465.2
East Midlands,East Midlands,71.2,7.9,476.9
West Midlands,West Midlands,69.2,9.9,469.3
Eastern,Eastern,75.5,6.5,531
London,London,70,8.8,613.3
South East,South East,75.8,6,555.8
South West,South West,74.3,6,476.5
Wales,Wales,69.4,8.2,455
Scotland,Scotland,72.1,7.2,498.3
