Region,Sub region,Gross Value Added at current basic price,Gross disposable household income (per head),Growth in gross disposable household income
North East,Hartlepool and Stockton-on-Tees,5405,14669,-1.63
North East,South Teesside,4641,14707,1.895
North East,Darlington,2591,14414,-2.44
North East,Durham CC,8042,15040,2.73
North East,Northumberland,5029,17756,-0.39
North East,Tyneside,18224,14995,1.65
North East,Sunderland,5745,14435,0.125
North West,Cumbria,11200,17150,-1.08
North West,Greater Manchester,59605,14640,0.63
North West,Blackburn with Darwen,2726,12096,-0.11
North West,Blackpool,2146,13954,-1.05
North West,Lancaster and Wyre,4277,16187,2.403
North West,Lancashire,15783,15282,0.25
North West,Cheshire,21096,19459,2
North West,Merseyside and Liverpool,20750,14031,-1.6
Yorkshire and the Humber,City of Kingston upon Hull,5129,12781,1.073
Yorkshire and the Humber,East Riding of Yorkshire,5990,17445,2.581
Yorkshire and the Humber,York,5068,16327,-2.31
Yorkshire and the Humber,North Yorkshire CC,13561,18643,-2.66
Yorkshire and the Humber,"Barnsley, Doncaster and Rotherham",13016,15019,2.275
Yorkshire and the Humber,Sheffield,11300,14263,0.827
Yorkshire and the Humber,Bradford,9504,13818,1.7
Yorkshire and the Humber,Leeds,21260,16034,1.992
Yorkshire and the Humber,Calderdale and Kirklees,11573,15209,1.282
Yorkshire and the Humber,Wakefield,6621,15373,0.354
East Midlands,Derby,6932,14331,2.174
East Midlands,Derbyshire,14378,16046,0.27
East Midlands,Nottingham,8816,12702,5.413
East Midlands,Nottinghamshire,13964,16918,1.8
East Midlands,Leicester,7473,12071,-0.26
East Midlands,Leicestershire CC and Rutland,16186,17805,3.159
East Midlands,Northamptonshire,16270,17670,1.1
East Midlands,Lincolnshire,13869,16592,1.471
West Midlands,Herefordshire,3883,17952,0.81
West Midlands,Worcestershire,11796,17953,0.155
West Midlands,Warwickshire,15119,18976,0.325
West Midlands,Shropshire CC,6009,17037,-2.32
West Midlands,Staffordshire CC,15225,16344,-1.53
West Midlands,Birmingham,24790,13804,2.847
West Midlands,Solihull,6672,19476,-1.08
West Midlands,Coventry,7655,13397,-2.03
East of England,Peterborough,5382,16097,3.791
East of England,Cambridgeshire,18832,19691,3.067
East of England,Suffolk,16901,17797,1.576
East of England,"Norwich, Breckland and Norfolk",18545,16757,0.15
East of England,Luton,4888,13775,-1.29
East of England,Hertfordshire,33864,22380,1.48
East of England,Bedfordshrie,9184,19266,4.2
East of England,Southend-on-Sea,3132,17751,1.936
East of England,Thurrock,3270,16157,-0.34
East of England,Essex,31653,19250,-0.12
London,Camden and City of London,73161,43735,3.831
London,Westminster,53573,43616,1.831
London,Kensington & Chelsea and Hammersmith & Fulham,21047,45988,4.831
London,Hackney and Newham,13753,19199,4.001
London,Tower Hamlets,28973,19639,6.47
London,Haringey and Islington,22831,23602,2.634
London,Lewisham and Southwark,19844,20756,7.072
London,Lambeth,11265,21020,4.744
London,"Merton, Kingston upon Thames and Sutton",14081,22104,1.112
London,Harrow and Hillingdon,17773,21180,3.52
London,Hounslow and Richmond upon Thames,17190,23897,2.102
South East,Berkshire,35845,20886,0.032
South East,Milton Keynes,10884,17518,0.799
South East,Buckinghamshire CC,15231,23778,1.438
South East,Oxfordshire,21887,20470,0.445
South East,Brighton and Hove,7129,18685,1.468
South East,Sussex,31048,20091,1.4
