Regions,Very good,Good,Fair,Bad,Very bad
North East,0.334,0.377,0.2,0.065,0.023
North West,0.356,0.367,0.184,0.071,0.022
Yorkshire and the Humber,0.344,0.387,0.189,0.06,0.02
East Midlands,0.355,0.392,0.182,0.054,0.017
West Midlands,0.359,0.385,0.181,0.059,0.017
East of England,0.382,0.393,0.167,0.045,0.013
London,0.384,0.403,0.149,0.049,0.015
South East,0.385,0.401,0.16,0.043,0.011
South West,0.373,0.394,0.172,0.046,0.016
Scotland,0.383,0.375,0.168,0.055,0.018
Wales,0.369,0.359,0.185,0.065,0.022
